feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target,category_A,category_B
-0.5718961810076401,-1.1676607115460864,1.9979032141269593,0.48744382663187746,0.6311378615094556,-0.3221399925146644,-1.791695448049547,-2.194486953075864,-0.4208570613968283,-0.19818287134506746,0,Type3,Group_X
-2.43940148120704,-2.002680723770176,,0.18919929406736224,0.5132279848919051,0.5988118295155025,-2.1531008156889433,-2.618590170585025,-1.0196277259566262,0.6206057547993037,0,Type1,Group_Y
-0.5810938463941845,-0.9783255782229291,0.9113220021423839,0.8564199553232233,0.9426441557993427,-0.1176753375103552,-1.7038022038950902,-2.1635318586235903,0.152567230240936,1.8525974684746198,0,Type1,Group_Y
-2.880644743216084,0.3591379319445127,-0.8209553977017396,0.7757902735362465,-3.224617555187392,-2.6636980801619425,-0.09391241718111853,4.17432897006482,0.8026891804570959,0.5939487402068067,1,Type1,Group_Y
0.3507121065624333,-0.5681786438225102,-0.865014350266371,3.6524655026509287,0.39771108259634536,1.9945774927573048,-0.8783187016739253,-2.800094756229883,2.116386668303316,-0.22735387948654656,0,Type3,Group_X
2.1326059363341043,1.4899740419140821,2.2803586709729706,-0.5161110552225787,0.018925341481778046,0.31359619697732155,-2.138482290676934,-2.7377709925825675,0.959596237918141,1.2766038380800315,1,Type1,Group_Y
1.5612647512296873,0.9014573909834384,-1.2259887857257252,-4.013201366513321,0.38043302874207896,0.29821696468633285,-0.18767406794746522,2.743498383682433,3.277316498033235,0.41842793048664695,1,Type3,Group_X
-5.6976894004533305,-3.517037953890908,-2.663383632930267,-1.6771871184081544,0.2419731507742089,-0.4436071307007966,-2.8377764630383284,1.8109501932534324,2.1900933600553842,-0.3831485787258441,1,Type1,Group_Y
1.3705740081601798,-1.4168696360866038,1.6039635311329823,1.5972683424379297,1.3012298364414128,1.1053256567883873,-0.3726230029634332,-2.1460409938914378,0.9067782195255376,0.7736373332557416,0,Type1,Group_Y
-2.82518301031914,-0.4927109999461248,-1.48089975373111,-1.0984878763775097,-1.5776219394495687,-1.6660091079653983,-0.7121354020915511,3.5345362240327267,1.460396938952928,0.5725132876255229,1,Type1,Group_Y
0.6944118985241405,2.0746028506394874,0.16464859042090496,-0.9504931782114243,-0.9393405518633173,0.04868478480799432,-0.2504068810926843,-0.6246531325241076,-0.9090581320748852,-0.6397888909895332,1,Type1,Group_X
